steroid,subject,matrix,condition,concentration
ae,juv_1,ah,con,NA
ae,juv_3,ah,con,NA
ae,juv_7,ah,con,NA
ae,juv_9,ah,con,NA
ae,juv_12,ah,con,NA
ae,sg_88,ah,con,NA
ae,sg_90,ah,con,NA
ae,sg_93,ah,con,NA
ae,sg_94,ah,con,NA
ae,sg_12,ah,con,NA
ae,sg_18,ah,con,NA
ae,juv_4,ah,sti,NA
ae,juv_5,ah,sti,NA
ae,juv_6,ah,sti,NA
ae,cj_124,ah,sti,NA
ae,juv_10,ah,sti,NA
ae,juv_11,ah,sti,NA
ae,juv_14,ah,sti,NA
ae,sg_20,ah,sti,NA
ae,sg_21,ah,sti,NA
ae,sg_22,ah,sti,NA
ae,sg_31,ah,sti,NA
ae,sg_36,ah,sti,NA
ae,sg_48,ah,sti,NA
ae,juv_15,ah,sti,NA
ae,sg_14,ah,sti,NA
b,juv_1,ah,con,0.768
b,juv_3,ah,con,0.339
b,juv_7,ah,con,1.347
b,juv_9,ah,con,1.832
b,juv_12,ah,con,0.859
b,sg_88,ah,con,0.322
b,sg_90,ah,con,0.26
b,sg_93,ah,con,0.456
b,sg_94,ah,con,0.127
b,sg_12,ah,con,0.853
b,sg_18,ah,con,0.718
b,juv_4,ah,sti,2.907
b,juv_5,ah,sti,1.75
b,juv_6,ah,sti,1.171
b,cj_124,ah,sti,1.549
b,juv_10,ah,sti,0.847
b,juv_11,ah,sti,1.71
b,juv_14,ah,sti,1.634
b,sg_20,ah,sti,1.803
b,sg_21,ah,sti,2.803
b,sg_22,ah,sti,2.618
b,sg_31,ah,sti,2.395
b,sg_36,ah,sti,4.621
b,sg_48,ah,sti,2.891
b,juv_15,ah,sti,3.027
b,sg_14,ah,sti,1.497
dhc,juv_1,ah,con,0.101
dhc,juv_3,ah,con,0.0367381269719059
dhc,juv_7,ah,con,0.057
dhc,juv_9,ah,con,0.054
dhc,juv_12,ah,con,0.0496065070697125
dhc,sg_88,ah,con,0.0400517697826714
dhc,sg_90,ah,con,0.0406830827859482
dhc,sg_93,ah,con,0.031252863145259
dhc,sg_94,ah,con,0.0279780132249705
dhc,sg_12,ah,con,0.051
dhc,sg_18,ah,con,0.0517104956244994
dhc,juv_4,ah,sti,0.096938776
dhc,juv_5,ah,sti,0.047959184
dhc,juv_6,ah,sti,0.044897959
dhc,cj_124,ah,sti,0.0189937385961463
dhc,juv_10,ah,sti,0.045918367
dhc,juv_11,ah,sti,0.080612245
dhc,juv_14,ah,sti,0.0455438944389918
dhc,sg_20,ah,sti,0.0264545906838753
dhc,sg_21,ah,sti,0.0418465752838562
dhc,sg_22,ah,sti,0.047959184
dhc,sg_31,ah,sti,0.055102041
dhc,sg_36,ah,sti,0.05
dhc,sg_48,ah,sti,0.0452650799674022
dhc,juv_15,ah,sti,0.075510204
dhc,sg_14,ah,sti,0.0456051876493151
p4,juv_1,ah,con,NA
p4,juv_3,ah,con,NA
p4,juv_7,ah,con,NA
p4,juv_9,ah,con,NA
p4,juv_12,ah,con,NA
p4,sg_88,ah,con,NA
p4,sg_90,ah,con,NA
p4,sg_93,ah,con,NA
p4,sg_94,ah,con,NA
p4,sg_12,ah,con,NA
p4,sg_18,ah,con,NA
p4,juv_4,ah,sti,0.077
p4,juv_5,ah,sti,0.0621780360104553
p4,juv_6,ah,sti,0.0544824351566016
p4,cj_124,ah,sti,0.045973080046048
p4,juv_10,ah,sti,0.0371378489838944
p4,juv_11,ah,sti,0.0632689148982926
p4,juv_14,ah,sti,0.0240469333500892
p4,sg_20,ah,sti,0.058
p4,sg_21,ah,sti,0.073
p4,sg_22,ah,sti,0.0507309923729851
p4,sg_31,ah,sti,0.138
p4,sg_36,ah,sti,0.0543562278215476
p4,sg_48,ah,sti,0.0326339855636295
p4,juv_15,ah,sti,0.117
p4,sg_14,ah,sti,0.0401833430063792
t,juv_1,ah,con,NA
t,juv_3,ah,con,NA
t,juv_7,ah,con,NA
t,juv_9,ah,con,NA
t,juv_12,ah,con,NA
t,sg_88,ah,con,NA
t,sg_90,ah,con,NA
t,sg_93,ah,con,NA
t,sg_94,ah,con,NA
t,sg_12,ah,con,NA
t,sg_18,ah,con,NA
t,juv_4,ah,sti,0.029557158032571
t,juv_5,ah,sti,0.0297092911121473
t,juv_6,ah,sti,0.0300092907601363
t,cj_124,ah,sti,0.0303642438329032
t,juv_10,ah,sti,0.0302609019250684
t,juv_11,ah,sti,0.0298315845376998
t,juv_14,ah,sti,0.03
t,sg_20,ah,sti,0.0302448568475855
t,sg_21,ah,sti,0.0303461466448864
t,sg_22,ah,sti,0.032
t,sg_31,ah,sti,0.030370591187743
t,sg_36,ah,sti,0.0287383856629915
t,sg_48,ah,sti,0.024456895262935
t,juv_15,ah,sti,0.0302822579304465
t,sg_14,ah,sti,0.041
ae,juv_1,bnst,con,NA
ae,juv_3,bnst,con,NA
ae,juv_7,bnst,con,NA
ae,juv_9,bnst,con,NA
ae,juv_12,bnst,con,NA
ae,sg_88,bnst,con,NA
ae,sg_90,bnst,con,NA
ae,sg_93,bnst,con,NA
ae,sg_94,bnst,con,NA
ae,sg_12,bnst,con,NA
ae,sg_18,bnst,con,NA
ae,juv_4,bnst,sti,NA
ae,juv_5,bnst,sti,NA
ae,juv_6,bnst,sti,NA
ae,cj_124,bnst,sti,NA
ae,juv_10,bnst,sti,NA
ae,juv_11,bnst,sti,NA
ae,juv_14,bnst,sti,NA
ae,sg_20,bnst,sti,NA
ae,sg_21,bnst,sti,NA
ae,sg_22,bnst,sti,NA
ae,sg_31,bnst,sti,NA
ae,sg_36,bnst,sti,NA
ae,sg_48,bnst,sti,NA
ae,juv_15,bnst,sti,NA
ae,sg_14,bnst,sti,NA
b,juv_1,bnst,con,0.95
b,juv_3,bnst,con,0.415
b,juv_7,bnst,con,1.134
b,juv_9,bnst,con,1.434
b,juv_12,bnst,con,0.679
b,sg_88,bnst,con,0.364
b,sg_90,bnst,con,0.441
b,sg_93,bnst,con,0.586
b,sg_94,bnst,con,0.164
b,sg_12,bnst,con,0.726
b,sg_18,bnst,con,0.665
b,juv_4,bnst,sti,2.372
b,juv_5,bnst,sti,1.598
b,juv_6,bnst,sti,1.424
b,cj_124,bnst,sti,1.13
b,juv_10,bnst,sti,0.746
b,juv_11,bnst,sti,1.379
b,juv_14,bnst,sti,1.046
b,sg_20,bnst,sti,0.86
b,sg_21,bnst,sti,0.716
b,sg_22,bnst,sti,2.06
b,sg_31,bnst,sti,1.651
b,sg_36,bnst,sti,2.413
b,sg_48,bnst,sti,2.121
b,juv_15,bnst,sti,2.083
b,sg_14,bnst,sti,1.243
dhc,juv_1,bnst,con,0.067346939
dhc,juv_3,bnst,con,0.037755102
dhc,juv_7,bnst,con,0.051020408
dhc,juv_9,bnst,con,0.038565858714397
dhc,juv_12,bnst,con,0.0378741366307462
dhc,sg_88,bnst,con,0.0360091035264084
dhc,sg_90,bnst,con,0.0380679214115455
dhc,sg_93,bnst,con,0.0334816617209936
dhc,sg_94,bnst,con,0.0343963499978447
dhc,sg_12,bnst,con,0.0342548502690896
dhc,sg_18,bnst,con,0.040816327
dhc,juv_4,bnst,sti,0.103061224
dhc,juv_5,bnst,sti,0.093877551
dhc,juv_6,bnst,sti,0.055102041
dhc,cj_124,bnst,sti,0.055398911304637
dhc,juv_10,bnst,sti,0.060204082
dhc,juv_11,bnst,sti,0.0525774493963614
dhc,juv_14,bnst,sti,0.078571429
dhc,sg_20,bnst,sti,0.0339058840530532
dhc,sg_21,bnst,sti,0.0538763757399455
dhc,sg_22,bnst,sti,0.0528003372353527
dhc,sg_31,bnst,sti,0.057142857
dhc,sg_36,bnst,sti,0.056122449
dhc,sg_48,bnst,sti,0.068367347
dhc,juv_15,bnst,sti,0.0545355148982525
dhc,sg_14,bnst,sti,0.069387755
p4,juv_1,bnst,con,NA
p4,juv_3,bnst,con,NA
p4,juv_7,bnst,con,NA
p4,juv_9,bnst,con,NA
p4,juv_12,bnst,con,NA
p4,sg_88,bnst,con,NA
p4,sg_90,bnst,con,NA
p4,sg_93,bnst,con,NA
p4,sg_94,bnst,con,NA
p4,sg_12,bnst,con,NA
p4,sg_18,bnst,con,NA
p4,juv_4,bnst,sti,NA
p4,juv_5,bnst,sti,NA
p4,juv_6,bnst,sti,NA
p4,cj_124,bnst,sti,NA
p4,juv_10,bnst,sti,NA
p4,juv_11,bnst,sti,NA
p4,juv_14,bnst,sti,NA
p4,sg_20,bnst,sti,NA
p4,sg_21,bnst,sti,NA
p4,sg_22,bnst,sti,NA
p4,sg_31,bnst,sti,NA
p4,sg_36,bnst,sti,NA
