,steroid,subject,matrix,condition,conc,tissue_weight
1,ae,juv_1,liver,con,NA,2.07
2,ae,juv_3,liver,con,NA,1.93
3,ae,juv_7,liver,con,NA,1.97
4,ae,juv_9,liver,con,NA,1.93
5,ae,juv_12,liver,con,NA,2.06
6,ae,sg_88,liver,con,NA,1.96
7,ae,sg_90,liver,con,NA,1.92
8,ae,sg_93,liver,con,NA,1.9
9,ae,sg_94,liver,con,NA,1.89
10,ae,sg_12,liver,con,NA,2.05
11,ae,juv_4,liver,sti,NA,1.85
12,ae,juv_5,liver,sti,NA,1.97
13,ae,juv_6,liver,sti,NA,2.04
14,ae,cj_124,liver,sti,NA,1.83
15,ae,juv_10,liver,sti,NA,2.01
16,ae,juv_11,liver,sti,NA,2.01
17,ae,juv_14,liver,sti,NA,1.95
18,ae,sg_20,liver,sti,NA,1.97
19,ae,sg_21,liver,sti,NA,1.93
20,ae,sg_22,liver,sti,NA,1.99
21,ae,sg_31,liver,sti,NA,1.83
22,ae,sg_36,liver,sti,NA,2.03
23,ae,juv_15,liver,sti,NA,1.99
24,ae,sg_14,liver,sti,NA,2.04
25,ae2,juv_1,liver,con,NA,2.07
26,ae2,juv_3,liver,con,NA,1.93
27,ae2,juv_7,liver,con,NA,1.97
28,ae2,juv_9,liver,con,NA,1.93
29,ae2,juv_12,liver,con,NA,2.06
30,ae2,sg_88,liver,con,NA,1.96
31,ae2,sg_90,liver,con,NA,1.92
32,ae2,sg_93,liver,con,NA,1.9
33,ae2,sg_94,liver,con,NA,1.89
34,ae2,sg_12,liver,con,NA,2.05
35,ae2,juv_4,liver,sti,NA,1.85
36,ae2,juv_5,liver,sti,NA,1.97
37,ae2,juv_6,liver,sti,NA,2.04
38,ae2,cj_124,liver,sti,NA,1.83
39,ae2,juv_10,liver,sti,NA,2.01
40,ae2,juv_11,liver,sti,NA,2.01
41,ae2,juv_14,liver,sti,NA,1.95
42,ae2,sg_20,liver,sti,NA,1.97
43,ae2,sg_21,liver,sti,NA,1.93
44,ae2,sg_22,liver,sti,NA,1.99
45,ae2,sg_31,liver,sti,NA,1.83
46,ae2,sg_36,liver,sti,NA,2.03
47,ae2,juv_15,liver,sti,NA,1.99
48,ae2,sg_14,liver,sti,NA,2.04
49,b,juv_1,liver,con,0.56,2.07
50,b,juv_3,liver,con,0.224,1.93
51,b,juv_7,liver,con,0.345,1.97
52,b,juv_9,liver,con,0.46,1.93
53,b,juv_12,liver,con,0.247,2.06
54,b,sg_88,liver,con,0.198,1.96
55,b,sg_90,liver,con,0.198,1.92
56,b,sg_93,liver,con,0.1,1.9
57,b,sg_94,liver,con,0.117,1.89
58,b,sg_12,liver,con,0.166,2.05
59,b,juv_4,liver,sti,0.539,1.85
60,b,juv_5,liver,sti,0.353,1.97
61,b,juv_6,liver,sti,0.378,2.04
62,b,cj_124,liver,sti,0.86,1.83
63,b,juv_10,liver,sti,0.343,2.01
64,b,juv_11,liver,sti,0.253,2.01
65,b,juv_14,liver,sti,0.47,1.95
66,b,sg_20,liver,sti,0.504,1.97
67,b,sg_21,liver,sti,1.003,1.93
68,b,sg_22,liver,sti,0.431,1.99
69,b,sg_31,liver,sti,1.019,1.83
70,b,sg_36,liver,sti,0.989,2.03
71,b,juv_15,liver,sti,1.253,1.99
72,b,sg_14,liver,sti,0.229,2.04
73,dhc,juv_1,liver,con,0.682,2.07
74,dhc,juv_3,liver,con,0.051,1.93
75,dhc,juv_7,liver,con,0.485,1.97
76,dhc,juv_9,liver,con,0.212,1.93
77,dhc,juv_12,liver,con,0.169,2.06
78,dhc,sg_88,liver,con,0.211,1.96
79,dhc,sg_90,liver,con,0.085,1.92
80,dhc,sg_93,liver,con,0.091,1.9
81,dhc,sg_94,liver,con,0.039,1.89
82,dhc,sg_12,liver,con,0.101,2.05
